"ADM3_PCODE","ADM3_EN","pop_u5","n_children","n_clusters"
"MG23212070","Mahabo",1008.3681640625,0,0
"MG23212090","Ankarimbary",798.285766601562,0,0
"MG23212110","Lanivo",1254.32470703125,0,0
"MG23212130a","Amborobe",1102.69836425781,0,0
"MG23212150","Mahasoabe",369.2998046875,0,0
"MG23212171","Onjatsy",278.210144042969,0,0
"MG23212172","Vohilany",322.327514648438,0,0
"MG23212190","Andemaka",1421.21008300781,0,0
"MG23212211","Ifatsy",1946.38159179688,0,0
"MG23212212","Antananabo",2112.080078125,0,0
"MG23212230","Ilakatra",2362.89721679688,0,0
"MG23212250","Sahalava",1531.38293457031,7,1
"MG23212270","Mahazoarivo",4791.9775390625,0,0
"MG11101001","1er Arrondissement",11056.5234375,66,10
"MG11101002","2e Arrondissement",14275.576171875,38,7
"MG11101003","3e Arrondissement",9130.888671875,10,4
"MG11101004","4e Arrondissement",12871.33984375,63,9
"MG11101005","5e Arrondissement",55130.4921875,81,11
"MG11101006","6e Arrondissement",29791.955078125,29,5
"MG11102010","Alasora",6978.46337890625,6,1
"MG11102039","Ankadikely Ilafy",46837.3203125,0,0
"MG11102050","Ambohimanambola",1273.81665039062,7,1
"MG11102079","Sabotsy Namehana",23581.3828125,11,1
"MG11102099","Ambohimangakely",7354.900390625,0,0
"MG11102210","Manandriana",3884.67333984375,0,0
"MG11102230","Ambohimalaza Miray",1297.72546386719,0,0
"MG11102279","Fieferana",4150.5869140625,0,0
"MG11102319","Ambohimanga Rova",26182.916015625,0,0
"MG11102350","Viliahazo",77.2775726318359,0,0
"MG11102379","Talata Volonondry",5253.4013671875,4,1
"MG11102390","Anjeva Gara",565.552001953125,0,0
"MG11102410","Masindray",2194.3681640625,0,0
"MG11102430","Ankadinandriana",3901.69921875,0,0
"MG11103010","Ambohidratrimo",2640.962890625,0,0
"MG11103030","Anosiala",6829.73876953125,0,0
"MG11103050","Talatamaty",2897.25122070312,0,0
"MG11103070","Antehiroka",7352.61376953125,13,2
"MG11103090","Iarinarivo",980.39697265625,0,0
"MG11103111","Ivato Firaisana",1520.220703125,5,1
"MG11103112","Ivato Aeroport",1650.5693359375,6,1
"MG11103130","Ambohitrimanjaka",2901.45385742188,0,0
"MG11103150","Mahitsy",9010.1728515625,0,0
"MG11103171","Merimandroso",9883.7255859375,0,0
"MG11103172","Ambatolampy",17579.880859375,0,0
"MG11103190","Ampangabe",2187.11450195312,0,0
"MG11103210","Ampanotokana",6646.37744140625,9,1
"MG11103230","Mananjara",248.47282409668,0,0
"MG11103251","Manjakavaradrano",2779.14575195312,0,0
"MG11103252","Antsahafilo",938.931396484375,0,0
"MG11103270","Ambohimanjaka",5303.365234375,6,1
"MG11103290","Fiadanana",430.234741210938,0,0
"MG11103310","Mahabo",4267.97314453125,0,0
"MG11103330","Mahereza",168.021896362305,0,0
"MG11103350","Antanetibe",6740.25146484375,0,0
"MG11103370","Ambohipihaonana",1181.95886230469,0,0
"MG11103390","Ambato",8157.0048828125,0,0
"MG11103410","Anjanadoria",5682.17578125,0,0
"MG11103430","Avaratsena",2930.984375,0,0
"MG11104010","Ankazobe",1754.82165527344,0,0
"MG11104030","Talata Angavo",952.216857910156,0,0
"MG11104050","Ambohitromby",1635.00549316406,0,0
"MG11104071","Antotohazo",815.126708984375,0,0
"MG11104072","Marondry",930.428649902344,0,0
"MG11104090","Fihaonana",2483.32080078125,11,1
"MG11104110","Mahavelona",2394.10278320312,0,0
"MG11104130","Fiadanana",2896.52954101562,0,0
"MG11104150","Tsaramasoandro",1274.48413085938,0,0
"MG11104170","Ambolotarakely",851.618041992188,0,0
"MG11104190","Antakavana",1040.60021972656,0,0
"MG11104210","Kiangara",1729.94848632812,0,0
"MG11104230","Miantso",1650.24157714844,0,0
"MG11106011","Manjakandriana",788.08740234375,5,1
"MG11106012","Ambatolaona",643.9462890625,0,0
