"ADM3_PCODE","ADM3_EN","ADM2_EN","ADM1_EN","est","lower","upper","pop_u5","n_stunted","cum_share"
"MG52516032","Analamary","Ambovombe-Androy","Androy",0.517291327215971,0.430104631320183,0.599832256825415,3104.47387695312,1605.91741211639,0.480032508570924
"MG25214091","Lopary","Vangaindrano","Atsimo Atsinanana",0.498813412571889,0.410405091665403,0.589227274212517,3216.24487304688,1604.30608079135,0.480977962959759
"MG12114030","Ambatolahy","Antanifotsy","Vakinankaratra",0.578964960106787,0.495147893767679,0.656286106138683,2763.59033203125,1600.02196633597,0.481920892621634
"MG21224010","Mahasoabe","Vohibato","Haute Matsiatra",0.472121726398671,0.384782111070745,0.554495409938835,3387.00512695312,1599.07870785826,0.482863266399643
"MG11117090","Fiombonana","Antananarivo Atsimondrano","Analamanga",0.431212521256944,0.364807631669508,0.502734406837763,3699.18969726562,1595.13691596562,0.483803317189233
"MG52516112","Marovato Befeno","Antanimora Sud","Androy",0.47111955403691,0.360622846379813,0.567825047972682,3385.7353515625,1595.08612891513,0.484743338048849
"MG25217012","Manambidala","Vondrozo","Atsimo Atsinanana",0.441442479269276,0.360213996297314,0.522530237877404,3603.64916992188,1590.80382398698,0.485680835247901
"MG52516050","Ambonaivo","Ambovombe-Androy","Androy",0.488034098830462,0.391992381176538,0.576728137011673,3255.76342773438,1588.92357045952,0.486617224370401
"MG23209032","Ankatafana","Mananjary","Vatovavy",0.394470010902702,0.291576148965066,0.50550968249713,4025.72680664062,1588.02849730683,0.487553086005753
"MG25214251","Bevata","Vangaindrano","Atsimo Atsinanana",0.50594517075638,0.393555398506499,0.604173245019742,3129.2158203125,1583.21163254157,0.488486108952161
"MG52514012","Nikoly","Tsihombe","Androy",0.425967784520151,0.335611488149675,0.518917479720841,3711.8994140625,1581.14956976985,0.489417916677658
"MG21219050","Solila","Ikalamavony","Haute Matsiatra",0.38201678034289,0.289205257965578,0.475792974427898,4130.55859375,1577.94269500203,0.490347834518264
"MG11117230","Antanetikely","Antananarivo Atsimondrano","Analamanga",0.55647158968383,0.480244484513685,0.630923225142513,2826.87646484375,1573.07644023141,0.491274884563263
"MG25222053","Bekofafa Sud","Befotaka","Atsimo Atsinanana",0.498269498031981,0.38713005466042,0.622405782187935,3143.43920898438,1566.27987675469,0.492197929237438
"MG21220250","Alakamisy Ambohimaha","Lalangina","Haute Matsiatra",0.461780791114345,0.382155800049637,0.54978675237156,3390.44116210938,1565.64060206551,0.493120597172369
"MG23209331","Marofototra","Mananjary","Vatovavy",0.4436049134055,0.342181852142762,0.54863408864288,3522.017578125,1562.38430275679,0.494041346095392
"MG52518251","Beraketa","Bekily","Androy",0.436672580755328,0.327736047791551,0.548256420427407,3569.20825195312,1558.57537863359,0.494959850332023
"MG25222031a","Antokoboritelo","Befotaka","Atsimo Atsinanana",0.543476875290781,0.406504953863616,0.674866371877338,2864.84619140625,1556.97765629416,0.495877412994215
"MG33314270","Fierenana","Moramanga","Alaotra Mangoro",0.455057746316362,0.360470954616074,0.549613089613865,3416.53466796875,1554.72056621758,0.496793645501429
"MG25214311","Isahara","Vangaindrano","Atsimo Atsinanana",0.500619721691946,0.397121599680769,0.607536967915041,3105.03881835938,1554.44366908976,0.497709714826812
"MG23210070","Ambila","Manakara Atsimo","Fitovinany",0.417751552667105,0.312153865806719,0.515045268830704,3710.87817382812,1550.22511887517,0.498623298063746
"MG53517291","Isoanala","Betroka","Anosy",0.415892392472696,0.325545504331141,0.511542922828542,3719.0859375,1546.73954835843,0.499534827173988
